"","species","latitudinal_zone","mycorrhizal_association","nitrogen_fixation_status","plant_growth_form","leaf_habit","mycorrhizal_reference"
"871","Clusia fluminensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"872","Clusia grandiflora","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"874","Clusia heterosavia","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"875","Clusia multiflora","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"877","Clusia salvinii","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"878","Clusia uvitana","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"880","Cneorum tricoccon","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"882","Coccoloba densifrons","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"883","Coccoloba hondurensis","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"886","Coccoloba mollis","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"887","Cochlospermum fraseri","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"888","Cochlospermum vitifolium","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"891","Cola gigantea","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"892","Cola greenwayi","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"893","Cola verticillata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"894","Coleogyne ramosissima","temperate","AM",0,"angiosperm","evergreen","Pendleton R, & Pendleton BK. 1999. Effects of microbiotic soil crust organisms and mycorrhizal fungi on seedling growth of blackbrush (Coleogyne ramosissima). CERL Technical Report 99/108"
"895","Comarostaphylis polifolia","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"898","Combretum apiculatum","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"899","Combretum collinum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"902","Combretum fruticosum","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"903","Combretum glutinosum","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"904","Combretum hereroense","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"905","Combretum imberbe","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"906","Combretum latifolium","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"908","Combretum molle","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"909","Combretum mossambicense","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"911","Combretum zeyheri","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"912","Commiphora leptophloeos","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"913","Commiphora mollis","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"917","Compsoneura capitellata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"918","Compsoneura ulei","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"919","Comptonia peregrina","temperate","AM",1,"angiosperm","deciduous","10.1111/nph.15440"
"920","Conceveiba guianensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"921","Conceveiba pleiostemona","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"922","Conceveiba rhytidocarpa","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"923","Condalia hookeri","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.12221"
"924","Connarus suberosus","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
