"","species","latitudinal_zone","mycorrhizal_association","nitrogen_fixation_status","plant_growth_form","leaf_habit","mycorrhizal_reference"
"1941","Juniperus chinensis","temperate","AM",0,"gymnosperm","evergreen","10.1890/11-1749.1"
"1942","Juniperus communis","boreal","AM",0,"gymnosperm","evergreen","10.1890/11-1749.1"
"1943","Juniperus deppeana","temperate","AM",0,"gymnosperm","evergreen","10.1111/nph.12221"
"1944","Juniperus formosana","tropical","AM",0,"gymnosperm","evergreen","10.1890/11-1749.1"
"1945","Juniperus monosperma","temperate","AM",0,"gymnosperm","evergreen","10.1111/nph.12221"
"1946","Juniperus occidentalis","temperate","AM",0,"gymnosperm","evergreen","10.1890/11-1749.1"
"1947","Juniperus osteosperma","temperate","AM",0,"gymnosperm","evergreen","10.1111/nph.12221"
"1948","Juniperus oxycedrus","temperate","AM",0,"gymnosperm","evergreen","10.1890/11-1749.1"
"1949","Juniperus phoenicea","tropical","AM",0,"gymnosperm","evergreen","10.1890/11-1749.1"
"1950","Juniperus scopulorum","temperate","AM",0,"gymnosperm","evergreen","10.1111/nph.12221"
"1951","Juniperus thurifera","temperate","AM",0,"gymnosperm","evergreen","10.1890/11-1749.1"
"1952","Juniperus virginiana","temperate","AM",0,"gymnosperm","deciduous","10.1111/1365-2745.12629"
"1955","Kalopanax septemlobus","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"1956","Kandelia candel","tropical","AM",0,"angiosperm","evergreen","10.1590/0102-33062016abb0296"
"1957","Keteleeria evelyniana","tropical","ECM",0,"gymnosperm","evergreen","10.1007/978-3-319-56363-3_19"
"1958","Keteleeria hainanensis","tropical","ECM",0,"gymnosperm","evergreen","10.1007/978-3-319-56363-3_19"
"1959","Khaya anthotheca","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1960","Kielmeyera coriacea","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1962","Kigelia pinnata","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"1963","Kiggelaria africana","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1964","Klaineanthus gaboniae","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1965","Klarobelia napoensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1966","Knema cinerea","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1967","Knema furfuracea","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1968","Knema globularia","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1969","Koelreuteria minor","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"1970","Koelreuteria paniculata","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"1971","Krascheninnikovia ceratoides","temperate","AM",0,"angiosperm","evergreen","10.1139/b79-079"
"1972","Kraussia floribunda","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1973","Krugiodendron ferreum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.12221"
"1974","Laburnum anagyroides","boreal","AM",1,"angiosperm","deciduous","10.1890/12-1700.1"
"1975","Lacistema aggregatum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1976","Lacistema grandifolium","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1981","Lacunaria crenata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1983","Lacunaria panamensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1986","Lagerstroemia parviflora","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"1987","Lagerstroemia speciosa","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"1988","Laguncularia racemosa","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1989","Lannea acida","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"1991","Lannea coromandelica","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"1993","Lannea grandis","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"1995","Lannea stuhlmannii","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"1996","Lansium domesticum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1997","Lantana camara","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1998","Lantana trifolia","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2000","Larix dahurica","boreal","ECM",0,"gymnosperm","deciduous","10.1007/978-3-319-56363-3_19"
"2001","Larix decidua","boreal","ECM",0,"gymnosperm","deciduous","10.1007/978-3-319-56363-3_19"
"2003","Larix gmelinii","temperate","ECM",0,"gymnosperm","deciduous","10.1007/978-3-319-56363-3_19"
"2004","Larix griffithiana","tropical","ECM",0,"gymnosperm","deciduous","10.1007/978-3-319-56363-3_19"
"2005","Larix griffithii","tropical","ECM",0,"gymnosperm","deciduous","10.1007/978-3-319-56363-3_19"
"2006","Larix kaempferi","temperate","ECM",0,"gymnosperm","deciduous","10.1007/978-3-319-56363-3_19"
"2007","Larix laricina","temperate","ECM",0,"gymnosperm","deciduous","10.1007/978-3-319-56363-3_19"
"2008","Larix leptolepis","temperate","ECM",0,"gymnosperm","deciduous","10.1007/978-3-319-56363-3_19"
"2009","Larix lyallii","temperate","ECM",0,"gymnosperm","deciduous","10.1007/978-3-319-56363-3_19"
"2010","Larix occidentalis","temperate","ECM",0,"gymnosperm","deciduous","10.1007/978-3-319-56363-3_19"
"2011","Larix olgensis","temperate","ECM",0,"gymnosperm","deciduous","10.1007/978-3-319-56363-3_19"
"2012","Larix sibirica","temperate","ECM",0,"gymnosperm","deciduous","10.1007/978-3-319-56363-3_19"
"2013","Larrea tridentata","temperate","AM",1,"angiosperm","evergreen","10.1007/s00572-005-0033-6 2006"
"2014","Lasianthus japonicus","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2015","Lasianthus verticillatus","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2017","Laurelia novae-zelandiae","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2018","Laurelia philippiana","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2019","Laurelia sempervirens","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2020","Laureliopsis philippiana","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2023","Lavandula dentata","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2024","Lavandula latifolia","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2025","Lavandula stoechas","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2026","Lecythis chartacea","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2027","Lecythis corrugata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2028","Lecythis holcogyne","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2029","Lecythis idatimon","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2030","Lecythis lurida","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2031","Lecythis persistens","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2032","Lecythis poiteaui","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2033","Lecythis prancei","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2034","Lecythis zabucajo","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2035","Leea asiatica","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2036","Leea compactiflora","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2037","Leea indica","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2038","Leonia crassa","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2039","Leonia glycycarpa","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2040","Lepechinia calycina","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2041","Lepidothamnus intermedius","temperate","AM",0,"gymnosperm","evergreen","10.1111/j.1365-2745.2011.01821.x"
"2042","Lepisanthes senegalensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2043","Leptodermis microphylla","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2045","Leptospermum laevigatum","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"2046","Leptospermum lanigerum","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"2047","Leptospermum myrsinoides","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"2048","Leptospermum polygalifolium","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"2049","Leptospermum scoparium","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"2050","Leptospermum trinervium","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"2051","Lespedeza bicolor","temperate","AM",1,"angiosperm","deciduous","10.1890/11-1749.1"
"2052","Lespedeza juncea","temperate","AM",1,"angiosperm","deciduous","10.1016/j.apsoil.2004.11.005"
"2053","Leucaena leucocephala","tropical","AM",1,"angiosperm","evergreen","10.1111/nph.12221"
"2055","Librevillea klainei","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"2056","Licania alba","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2057","Licania apetala","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2058","Licania arborea","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2059","Licania canescens","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2060","Licania caudata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2061","Licania glabriflora","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2062","Licania harlingii","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2063","Licania heteromorpha","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2064","Licania hipofuzzy","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2065","Licania hypoleuca","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2066","Licania kunthiana","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2067","Licania lata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2068","Licania latifolia","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2069","Licania latistipula","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2070","Licania laxiflora","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2071","Licania licaniiflora","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2072","Licania longipedicellata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2073","Licania longistyla","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2074","Licania macrocarpa","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2075","Licania majuscula","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2076","Licania membranacea","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2077","Licania michelli","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2078","Licania micrantha","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2079","Licania minutiflora","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2080","Licania nervifina","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2081","Licania oblongifolia","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2082","Licania octandra","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2083","Licania ovalifolia","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2084","Licania reticulata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2085","Licania silvae","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2086","Licania sothersiae","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2087","Licania unguiculata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2088","Licania urceolaris","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2089","Licania zigzag","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2090","Licaria triandra","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.12221"
"2091","Licuala fordiana","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2092","Licuala spinosa","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2093","Ligusticum huteri","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2094","Ligustrum lucidum","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2098","Ligustrum retusum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2099","Ligustrum sinense","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2100","Ligustrum vulgare","boreal","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2101","Lindackeria paludosa","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2102","Lindera benzoin","temperate","AM",0,"angiosperm","deciduous","10.1111/j.1469-8137.2009.02799.x"
"2103","Lindera communis","tropical","AM",0,"angiosperm","evergreen","10.1111/geb.12048"
"2104","Lindera umbellata","temperate","AM",0,"angiosperm","evergreen","10.1007/s00572-002-0187-4"
"2105","Linnaea borealis","boreal","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2107","Liquidambar formosana","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2108","Liquidambar styraciflua","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2109","Liriodendron chinense","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2110","Liriodendron tulipifera","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2111","Litchi chinensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2112","Lithocarpus amygdalifolius","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"2113","Lithocarpus auriculatus","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"2115","Lithocarpus corneus","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"2116","Lithocarpus crassifolius","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"2117","Lithocarpus cyrtocarpus","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"2118","Lithocarpus dealbatus","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"2119","Lithocarpus densiflorus","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"2120","Lithocarpus fenzelianus","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"2121","Lithocarpus glaber","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"2122","Lithocarpus grandifolius","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"2123","Lithocarpus hancei","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"2124","Lithocarpus handelianus","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"2125","Lithocarpus harlandii","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"2126","Lithocarpus havilandii","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"2127","Lithocarpus henryi","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"2128","Lithocarpus truncatus","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"2129","Lithocarpus xylocarpus","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"2130","Litsea baviensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.12842"
"2131","Litsea calicaris","temperate","AM",0,"angiosperm","evergreen","10.1111/1365-2745.12562"
"2132","Litsea cubeba","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.12842"
"2133","Litsea monopetala","tropical","AM",0,"angiosperm","evergreen","10.1007/s005720100117"
"2136","Livistona humilis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2137","Livistona saribus","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2138","Lobelia villosa","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2139","Lobelia yuccoides","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2142","Lonicera bella","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2143","Lonicera caerulea","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2144","Lonicera canadensis","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2145","Lonicera chrysantha","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2146","Lonicera etrusca","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2149","Lonicera hispida","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2153","Lonicera involucrata","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2154","Lonicera japonica","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2155","Lonicera maackii","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2156","Lonicera maximowiczii","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2158","Lonicera periclymenum","boreal","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2159","Lonicera praeflorens","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2166","Lonicera tatarica","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2169","Lonicera xylosteum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2170","Lophira alata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2171","Lophostemon lactifluus","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"2173","Loropetalum chinense","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2174","Lozania klugii","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2177","Lozania pittieri","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2178","Luehea candida","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2179","Luehea seemannii","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2180","Luehea speciosa","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2181","Luetkea pectinata","temperate","AM",0,"angiosperm","evergreen","Cazares E. 1992. Mycorrhizal fungi and their relationship to plant succession in subalpine habitat. PhD Thesis"
"2182","Luma apiculata","temperate","AM",0,"angiosperm","evergreen","10.4067/S0717-92002008000100002 "
"2184","Lumnitzera racemosa","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2185","Lycium andersonii","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2186","Lycium chilense","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2187","Lycium chinense","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2190","Lycium intricatum","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2191","Lycium pallidum","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2192","Lycium ruthenicum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2195","Lysiloma latisiliquum","tropical","AM",1,"angiosperm","deciduous","10.1111/nph.12221"
"2196","Maackia amurensis","temperate","AM",1,"angiosperm","deciduous","10.1890/11-1749.1"
"2199","Macaranga hispida","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2201","Macaranga lowii","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2203","Macaranga tanarius","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2204","Macaranga triloba","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2205","Machilus breviflora","tropical","AM",0,"angiosperm","evergreen","10.1111/geb.12048"
"2206","Machilus chinensis","tropical","AM",0,"angiosperm","evergreen","10.1007/s00442-013-2778-5"
"2207","Machilus thunbergii","tropical","AM",0,"angiosperm","evergreen","10.1016/j.myc.2013.02.004"
"2208","Machilus velutina","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.12842"
"2209","Maclura cochinchinensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2210","Maclura tinctoria","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2211","Maclura tricuspidata","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2213","Macrocnemum glabrescens","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2216","Macrozamia riedlei","temperate","AM",1,"gymnosperm","evergreen","10.1071/BT9910445"
"2217","Madhuca hainanensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2218","Madhuca indica","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2219","Maesa indica","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2220","Maesa japonica","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2221","Maesa perlaria","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2222","Maesa permollis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2223","Magnolia acuminata","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2229","Magnolia denudata","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2230","Magnolia fraseri","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2232","Magnolia grandiflora","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2234","Magnolia kobus","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2236","Magnolia macrophylla","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2237","Magnolia obovata","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2241","Magnolia salicifolia","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2242","Magnolia schiedeana","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2245","Magnolia stellata","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2247","Magnolia tripetala","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2248","Magnolia virginiana","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2249","Magonia pubescens","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2250","Mallotus anomalus","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2251","Mallotus apelta","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2252","Mallotus barbatus","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2253","Mallotus japonicus","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2255","Mallotus nesophilus","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2256","Mallotus paniculatus","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2257","Mallotus philippensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2258","Malouetia tamaquarina","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2261","Malus baccata","temperate","AM",0,"angiosperm","deciduous","10.1111/geb.12048"
"2263","Mammea africana","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2264","Mangifera foetida","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2265","Mangifera indica","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2266","Manihot esculenta","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2267","Manilkara bidentata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2268","Manilkara cavalcantei","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2269","Manilkara chicle","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2270","Manilkara hexandra","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2271","Manilkara huberi","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2272","Manilkara mochisia","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2274","Manoao colensoi","temperate","AM",0,"gymnosperm","evergreen","10.1111/j.1365-2745.2011.01821.x"
"2275","Mansoa verrucifera","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2276","Maprounea guianensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2277","Maquira calophylla","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2278","Maquira guianensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2279","Maquira sclerophylla","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2280","Maranthes corymbosa","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2285","Marila laxiflora","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2287","Markhamia platycalyx","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2291","Matayba guianensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2293","Matayba oppositifolia","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2295","Matisia bracteolosa","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2296","Matisia cordata","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2298","Matisia malacocalyx","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2299","Matisia obliquifolia","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"2300","Matisia oblongifolia","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2301","Maytenus acuminata","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2302","Maytenus ala","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2303","Maytenus boaria","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2305","Maytenus ebenifolia","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2306","Maytenus heterophylla","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2309","Maytenus macrocarpa","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2311","Maytenus oleoides","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2313","Maytenus senegalensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"2315","Melaleuca acerosa","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"2317","Melaleuca leucadendra","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"2321","Melaleuca squarrosa","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"2322","Melaleuca systena","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"2324","Melaleuca uncinata","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"2325","Melaleuca viridiflora","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
